"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","KostenProKopf"
"base","base","base","base","base","base",1,0,1,1,0
"dekarbonisiert","base","base","base","base","base",0.99,5e+07,1,1,13.1578947368421
"base","ganze Stadt","base","base","base","base",0.9,1e+07,0.9,1,2.63157894736842
"dekarbonisiert","ganze Stadt","base","base","base","base",0.9,6e+07,0.9,1,15.7894736842105
"base","base","stark","base","base","base",0.9,7e+07,0.9,1,18.4210526315789
"dekarbonisiert","base","stark","base","base","base",0.9,1.2e+08,0.9,1,31.5789473684211
"base","ganze Stadt","stark","base","base","base",0.8,8e+07,0.8,0.9,21.0526315789474
"dekarbonisiert","ganze Stadt","stark","base","base","base",0.8,1.3e+08,0.8,0.9,34.2105263157895
"base","base","base","mautFossil","base","base",0.5,-7.3e+08,0.8,0.8,-192.105263157895
"dekarbonisiert","base","base","mautFossil","base","base",0.5,-6.8e+08,0.8,0.8,-178.947368421053
"base","ganze Stadt","base","mautFossil","base","base",0.5,-7.2e+08,0.7,0.7,-189.473684210526
"dekarbonisiert","ganze Stadt","base","mautFossil","base","base",0.4,-6.7e+08,0.7,0.7,-176.315789473684
"base","base","stark","mautFossil","base","base",0.5,-6.6e+08,0.7,0.7,-173.684210526316
"dekarbonisiert","base","stark","mautFossil","base","base",0.4,-6.1e+08,0.7,0.7,-160.526315789474
"base","ganze Stadt","stark","mautFossil","base","base",0.4,-6.5e+08,0.6,0.7,-171.052631578947
"dekarbonisiert","ganze Stadt","stark","mautFossil","base","base",0.4,-6e+08,0.6,0.7,-157.894736842105
"base","base","base","MautFuerAlle","base","base",0.6,-1.46e+09,0.6,0.6,-384.210526315789
"dekarbonisiert","base","base","MautFuerAlle","base","base",0.6,-1.41e+09,0.6,0.6,-371.052631578947
"base","ganze Stadt","base","MautFuerAlle","base","base",0.5,-1.45e+09,0.5,0.6,-381.578947368421
"dekarbonisiert","ganze Stadt","base","MautFuerAlle","base","base",0.5,-1.4e+09,0.5,0.6,-368.421052631579
"base","base","stark","MautFuerAlle","base","base",0.5,-1.39e+09,0.5,0.6,-365.789473684211
"dekarbonisiert","base","stark","MautFuerAlle","base","base",0.5,-1.34e+09,0.5,0.6,-352.631578947368
